"transcript_id" "gene_id" "gene_name"
"285" "ENSDART00000073467.4" "ENSDARG00000036743" "nitr7a_t1"
"286" "ENSDART00000073519.6" "ENSDARG00000088859" "taar14f"
"287" "ENSDART00000073627.6" "ENSDARG00000051916" "cdk7_t1"
"288" "ENSDART00000073717.6" "ENSDARG00000051993" "si:dkey-9i23.4"
"289" "ENSDART00000073734.5" "ENSDARG00000052010" "ciao2b_g1t1"
"290" "ENSDART00000073870.5" "ENSDARG00000052088" "unknown.79"
"291" "ENSDART00000073963.7" "ENSDARG00000052165" "LHX6"
"292" "ENSDART00000074085.7" "ENSDARG00000090237" "zp2.3"
"293" "ENSDART00000074113.6" "ENSDARG00000100970" "unknown.80"
"294" "ENSDART00000074181.3" "ENSDARG00000090768" "zgc:171778_t2"
"295" "ENSDART00000074200.6" "ENSDARG00000112976" "unknown.81"
"296" "ENSDART00000074230.5" "ENSDARG00000052396" "pkz_t1"
"297" "ENSDART00000074424.5" "ENSDARG00000036125" "nitr13_g1t1"
"298" "ENSDART00000074482.4" "ENSDARG00000069206" "taar15"
"299" "ENSDART00000074638.5" "ENSDARG00000052731" "ankrd31_g1t1"
"300" "ENSDART00000074811.5" "ENSDARG00000052876" "unknown.82"
"301" "ENSDART00000074839.6" "ENSDARG00000052899" "unknown.83"
"302" "ENSDART00000074845.6" "ENSDARG00000052903" "rtknb_t1"
"303" "ENSDART00000074953.3" "ENSDARG00000078182" "zgc:194443_g1t1"
"304" "ENSDART00000075125.2" "ENSDARG00000053135" "tas1r2.1"
"305" "ENSDART00000075270.5" "ENSDARG00000110325" "pheta2_g1t1"
"306" "ENSDART00000075414.7" "ENSDARG00000053386" "unknown.84"
"307" "ENSDART00000075537.8" "ENSDARG00000053498" "EDNRB_t1"
"308" "ENSDART00000075546.5" "ENSDARG00000035080" "HSF2BP_t1"
"309" "ENSDART00000075593.6" "ENSDARG00000010097" "f9a_g1t1"
"310" "ENSDART00000076048.5" "ENSDARG00000053940" "btr32"
"311" "ENSDART00000076084.5" "ENSDARG00000053963" "npm2b_t1"
"312" "ENSDART00000076316.6" "ENSDARG00000054160" "zgc:113625_t1"
"313" "ENSDART00000076345.6" "ENSDARG00000054196" "SLC38A8_t1"
"314" "ENSDART00000076403.6" "ENSDARG00000054237" "unknown.85"
"315" "ENSDART00000076409.5" "ENSDARG00000054220" "ap4s1_t2"
"316" "ENSDART00000076611.5" "ENSDARG00000070794" "unknown.86"
"317" "ENSDART00000076687.4" "ENSDARG00000054533" "araf_t1"
"318" "ENSDART00000076695.6" "ENSDARG00000069142" "aars1_g1t1"
"319" "ENSDART00000076810.6" "ENSDARG00000068704" "or41a3_g1t1"
"320" "ENSDART00000076870.6" "ENSDARG00000089852" "si:dkey-51d8.1_t1"
"321" "ENSDART00000076967.5" "ENSDARG00000054719" "or71ar1"
"322" "ENSDART00000077231.3" "ENSDARG00000054949" "mc2r"
"323" "ENSDART00000077245.6" "ENSDARG00000091169" "tor4ab_g1t1"
"324" "ENSDART00000077260.5" "ENSDARG00000054975" "CXCR1"
"325" "ENSDART00000077483.5" "ENSDARG00000055163" "epoa_t1"
"326" "ENSDART00000077548.6" "ENSDARG00000055223" "ABLIM2_t1"
"327" "ENSDART00000077745.4" "ENSDARG00000055415" "zp2l1"
"328" "ENSDART00000077819.6" "ENSDARG00000055520" "unknown.87"
"329" "ENSDART00000077848.5" "ENSDARG00000105736" "or90e2"
"330" "ENSDART00000077933.5" "ENSDARG00000113632" "unknown.88"
"331" "ENSDART00000077952.5" "ENSDARG00000055588" "stat5b_t1"
"332" "ENSDART00000078149.5" "ENSDARG00000055750" "foxp3a_t1"
"333" "ENSDART00000078225.7" "ENSDARG00000092126" "vtg5_g1t1"
"334" "ENSDART00000078253.3" "ENSDARG00000055856" "tor1l1"
"335" "ENSDART00000078256.5" "ENSDARG00000055857" "DOP1B_t1"
"336" "ENSDART00000078284.6" "ENSDARG00000055883" "dmc1"
"337" "ENSDART00000078328.6" "ENSDARG00000111529" "vtg2_g2t1"
"338" "ENSDART00000078384.5" "ENSDARG00000055986" "unknown.89"
"339" "ENSDART00000078399.6" "ENSDARG00000078451" "gzm3"
"340" "ENSDART00000078469.5" "ENSDARG00000056047" "noxa1_g1t1"
"341" "ENSDART00000078491.4" "ENSDARG00000056065" "mov10b.2_g1t1"
"342" "ENSDART00000078671.5" "ENSDARG00000029688" "hsp70.1_t1"
"343" "ENSDART00000078824.5" "ENSDARG00000056338" "szrd1_g1t1"
"344" "ENSDART00000078886.6" "ENSDARG00000008835" "si:dkey-46g23.5_t1"
"345" "ENSDART00000079013.5" "ENSDARG00000056506" "unknown.90"
"346" "ENSDART00000079090.5" "ENSDARG00000091136" "zgc:174259_g1t1"
"347" "ENSDART00000079294.6" "ENSDARG00000090764" "bcas3_g1t1"
"348" "ENSDART00000079323.5" "ENSDARG00000056773" "zgc:163079_g1t1"
"349" "ENSDART00000079352.3" "ENSDARG00000056798" "zgc:123297"
"350" "ENSDART00000079399.5" "ENSDARG00000056835" "LAYN_g1t1"
"351" "ENSDART00000079459.5" "ENSDARG00000056885" "per1a_t1"
"352" "ENSDART00000079469.6" "ENSDARG00000056913" "pcolcea_t1"
"353" "ENSDART00000079634.4" "ENSDARG00000057037" "unknown.91"
"354" "ENSDART00000079686.6" "ENSDARG00000057090" "unknown.92"
